window	log2FC	pvalue	qvalue	significant
chr16:78113893:DECOY59	-0.3844	1.000e+00	1.000e+00	no
chr17:23334722:DECOY60	-0.2054	9.994e-01	1.000e+00	no
chr2:115620249:DECOY61	-0.4417	1.000e+00	1.000e+00	no
chr16:71770635:DECOY62	-0.0901	9.248e-01	1.000e+00	no
chr1:104933922:DECOY63	-0.3227	1.000e+00	1.000e+00	no
chr4:23686046:DECOY64	-0.3554	1.000e+00	1.000e+00	no
chr11:110021073:DECOY65	-0.3501	1.000e+00	1.000e+00	no
chr6:26174957:DECOY66	-0.3222	1.000e+00	1.000e+00	no
chr4:93876385:DECOY67	-0.2998	1.000e+00	1.000e+00	no
chr18:44042925:DECOY68	-0.1946	9.988e-01	1.000e+00	no
chr2:50449849:DECOY69	-0.1668	9.948e-01	1.000e+00	no
chr7:18129541:DECOY70	-0.1987	9.989e-01	1.000e+00	no
chr5:28426536:DECOY71	-0.2983	1.000e+00	1.000e+00	no
chr4:73927312:DECOY72	-0.3661	1.000e+00	1.000e+00	no
chr4:10217200:DECOY73	-0.2965	1.000e+00	1.000e+00	no
chr16:19698521:DECOY74	-0.0591	8.278e-01	1.000e+00	no
chr12:63622720:DECOY75	-0.2419	9.999e-01	1.000e+00	no
chr3:3186113:DECOY76	-0.1930	9.985e-01	1.000e+00	no
chr21:28709929:DECOY77	-0.3035	1.000e+00	1.000e+00	no
chr22:112294612:DECOY78	-0.1273	9.793e-01	1.000e+00	no
chr5:17746064:DECOY79	-0.3463	1.000e+00	1.000e+00	no
chr11:16936227:DECOY80	-0.4358	1.000e+00	1.000e+00	no
chr2:50744707:DECOY81	-0.3618	1.000e+00	1.000e+00	no
chr1:102027180:DECOY82	-0.1821	9.973e-01	1.000e+00	no
chr8:41822138:DECOY83	-0.1526	9.919e-01	1.000e+00	no
chr3:83206212:DECOY84	-0.2849	1.000e+00	1.000e+00	no
chr1:109831896:DECOY85	-0.3718	1.000e+00	1.000e+00	no
chr17:39349168:DECOY86	-0.2935	1.000e+00	1.000e+00	no
chr21:25153467:DECOY87	-0.3090	1.000e+00	1.000e+00	no
chr12:14560857:DECOY88	-0.2789	1.000e+00	1.000e+00	no
chr18:67235007:DECOY89	-0.3126	1.000e+00	1.000e+00	no
chr15:102028727:DECOY90	-0.2912	1.000e+00	1.000e+00	no
chr1:34514862:DECOY91	-0.3816	1.000e+00	1.000e+00	no
chr11:68822603:DECOY92	-0.2650	1.000e+00	1.000e+00	no
chr12:105168753:DECOY93	-0.3909	1.000e+00	1.000e+00	no
chr7:49952339:DECOY94	-0.2369	9.999e-01	1.000e+00	no
chr1:43457234:DECOY95	-0.2449	9.999e-01	1.000e+00	no
chr18:96233659:DECOY96	-0.2804	1.000e+00	1.000e+00	no
chr14:108279731:DECOY97	-0.3920	1.000e+00	1.000e+00	no
chr10:26555207:DECOY98	-0.3031	1.000e+00	1.000e+00	no
chr6:32902598:DECOY99	-0.2414	9.999e-01	1.000e+00	no
chr2:39119565:DECOY100	-0.1888	9.986e-01	1.000e+00	no
chr8:54129956:DECOY101	-0.2049	9.992e-01	1.000e+00	no
chr17:94462303:DECOY102	-0.2975	1.000e+00	1.000e+00	no
chr6:39676619:DECOY103	-0.2276	9.998e-01	1.000e+00	no
chr13:76674425:DECOY104	-0.4431	1.000e+00	1.000e+00	no
chr22:49216369:DECOY105	-0.2684	1.000e+00	1.000e+00	no
chr12:28433875:DECOY106	-0.4060	1.000e+00	1.000e+00	no
chr15:5815860:DECOY107	-0.1171	9.655e-01	1.000e+00	no
chr10:7398385:DECOY108	-0.0845	9.077e-01	1.000e+00	no
chr4:35654561:DECOY109	-0.3959	1.000e+00	1.000e+00	no
chr2:104995215:DECOY110	-0.3817	1.000e+00	1.000e+00	no
chr10:54602176:DECOY111	-0.2446	9.999e-01	1.000e+00	no
chr22:23580381:DECOY112	-0.2121	9.994e-01	1.000e+00	no
chr18:107327235:DECOY113	-0.2848	1.000e+00	1.000e+00	no
chr12:93495938:DECOY114	-0.2546	1.000e+00	1.000e+00	no
chr18:18392444:DECOY115	-0.2072	9.993e-01	1.000e+00	no
chr10:16374229:DECOY116	-0.1826	9.976e-01	1.000e+00	no
chr12:9179097:DECOY117	-0.2757	1.000e+00	1.000e+00	no
chr4:62245375:DECOY118	-0.3423	1.000e+00	1.000e+00	no
chr19:113181128:DECOY119	-0.2276	9.998e-01	1.000e+00	no
chr10:101304049:DECOY120	-0.2862	1.000e+00	1.000e+00	no
chr2:19240681:DECOY121	-0.1912	9.983e-01	1.000e+00	no
chr18:17608616:DECOY122	-0.1556	9.921e-01	1.000e+00	no
chr22:79691022:DECOY123	-0.2984	1.000e+00	1.000e+00	no
chr5:5117629:DECOY124	-0.2974	1.000e+00	1.000e+00	no
chr7:27130806:DECOY125	-0.3218	1.000e+00	1.000e+00	no
chr14:62169756:DECOY126	-0.3975	1.000e+00	1.000e+00	no
chr7:70082914:DECOY127	-0.3331	1.000e+00	1.000e+00	no
chr10:112951264:DECOY128	-0.1471	9.885e-01	1.000e+00	no
chr22:88260112:DECOY129	-0.2773	1.000e+00	1.000e+00	no
chr2:38595767:DECOY130	-0.2009	9.993e-01	1.000e+00	no
chr4:45374804:DECOY131	-0.2649	1.000e+00	1.000e+00	no
chr14:108387208:DECOY132	-0.2522	9.999e-01	1.000e+00	no
chr8:15991115:DECOY133	-0.4629	1.000e+00	1.000e+00	no
chr18:17149280:DECOY134	-0.1376	9.849e-01	1.000e+00	no
chr15:112158995:DECOY135	-0.3616	1.000e+00	1.000e+00	no
chr20:44597603:DECOY136	-0.1725	9.959e-01	1.000e+00	no
chr1:17360947:DECOY137	-0.1949	9.987e-01	1.000e+00	no
chr1:92842808:DECOY138	-0.3959	1.000e+00	1.000e+00	no
chr5:57917137:DECOY139	-0.3416	1.000e+00	1.000e+00	no
chr4:35397361:DECOY140	-0.1501	9.905e-01	1.000e+00	no
chr6:108618735:DECOY141	-0.2099	9.993e-01	1.000e+00	no
chr15:91393022:DECOY142	-0.2173	9.996e-01	1.000e+00	no
chr9:40972437:DECOY143	-0.2259	9.998e-01	1.000e+00	no
chr5:36571180:DECOY144	-0.1894	9.983e-01	1.000e+00	no
chr4:63086262:DECOY145	-0.1994	9.991e-01	1.000e+00	no
chr17:101822405:DECOY146	-0.3046	1.000e+00	1.000e+00	no
chr19:18864448:DECOY147	-0.4196	1.000e+00	1.000e+00	no
chr22:75201644:DECOY148	-0.1779	9.971e-01	1.000e+00	no
chr4:80819625:DECOY149	-0.2139	9.995e-01	1.000e+00	no
chr5:33322496:DECOY150	-0.3084	1.000e+00	1.000e+00	no
chr20:91054000:DECOY151	-0.4425	1.000e+00	1.000e+00	no
chr20:43899312:DECOY152	-0.1779	9.973e-01	1.000e+00	no
chr11:68826545:DECOY153	-0.1237	9.755e-01	1.000e+00	no
chr22:46216212:DECOY154	-0.2513	1.000e+00	1.000e+00	no
chr12:79365506:DECOY155	-0.3372	1.000e+00	1.000e+00	no
chr8:4268482:DECOY156	-0.4172	1.000e+00	1.000e+00	no
chr13:54032775:DECOY157	-0.1042	9.469e-01	1.000e+00	no
chr18:35005774:DECOY158	-0.4590	1.000e+00	1.000e+00	no
chr20:79579469:DECOY159	-0.3467	1.000e+00	1.000e+00	no
chr21:69455850:DECOY160	-0.1477	9.902e-01	1.000e+00	no
chr5:30074604:DECOY161	-0.1088	9.555e-01	1.000e+00	no
chr21:60705475:DECOY162	-0.1998	9.990e-01	1.000e+00	no
chr9:111854993:DECOY163	-0.2221	9.996e-01	1.000e+00	no
chr22:113240206:DECOY164	-0.2696	1.000e+00	1.000e+00	no
chr6:112585937:DECOY165	-0.1161	9.633e-01	1.000e+00	no
chr11:111053806:DECOY166	-0.2294	9.997e-01	1.000e+00	no
chr18:70789288:DECOY167	-0.3805	1.000e+00	1.000e+00	no
chr5:51748784:DECOY168	-0.1526	9.919e-01	1.000e+00	no
chr5:17578072:DECOY169	-0.3278	1.000e+00	1.000e+00	no
chr9:54800703:DECOY170	-0.2114	9.995e-01	1.000e+00	no
chr7:46660566:DECOY171	-0.1335	9.767e-01	1.000e+00	no
chr16:48283718:DECOY172	-0.1536	9.919e-01	1.000e+00	no
chr16:117699669:DECOY173	-0.3761	1.000e+00	1.000e+00	no
chr6:112206251:DECOY174	-0.1291	9.760e-01	1.000e+00	no
chr5:22734745:DECOY175	-0.3043	1.000e+00	1.000e+00	no
chr7:84524230:DECOY176	-0.4401	1.000e+00	1.000e+00	no
chr9:25691979:DECOY177	-0.4131	1.000e+00	1.000e+00	no
chr2:85189696:DECOY178	-0.3682	1.000e+00	1.000e+00	no
chr21:70282679:DECOY179	-0.4076	1.000e+00	1.000e+00	no
