window	log2FC	pvalue	qvalue	significant
chr22:75201644:DECOY148	-0.2187	9.996e-01	1.000e+00	no
chr4:80819625:DECOY149	-0.1972	9.987e-01	1.000e+00	no
chr5:33322496:DECOY150	-0.2846	1.000e+00	1.000e+00	no
chr20:91054000:DECOY151	-0.4857	1.000e+00	1.000e+00	no
chr20:43899312:DECOY152	-0.2294	9.998e-01	1.000e+00	no
chr11:68826545:DECOY153	-0.1648	9.951e-01	1.000e+00	no
chr22:46216212:DECOY154	-0.1512	9.913e-01	1.000e+00	no
chr12:79365506:DECOY155	-0.1789	9.964e-01	1.000e+00	no
chr8:4268482:DECOY156	-0.2130	9.996e-01	1.000e+00	no
chr13:54032775:DECOY157	-0.2211	9.995e-01	1.000e+00	no
chr18:35005774:DECOY158	-0.1043	9.523e-01	1.000e+00	no
chr20:79579469:DECOY159	-0.2969	1.000e+00	1.000e+00	no
chr21:69455850:DECOY160	-0.2295	9.998e-01	1.000e+00	no
chr5:30074604:DECOY161	-0.2999	1.000e+00	1.000e+00	no
chr21:60705475:DECOY162	-0.0571	8.201e-01	1.000e+00	no
chr9:111854993:DECOY163	-0.2764	1.000e+00	1.000e+00	no
chr22:113240206:DECOY164	-0.1766	9.966e-01	1.000e+00	no
chr6:112585937:DECOY165	-0.0810	8.953e-01	1.000e+00	no
chr11:111053806:DECOY166	-0.2446	9.999e-01	1.000e+00	no
chr18:70789288:DECOY167	-0.3783	1.000e+00	1.000e+00	no
chr5:51748784:DECOY168	-0.1944	9.987e-01	1.000e+00	no
chr5:17578072:DECOY169	-0.2308	9.998e-01	1.000e+00	no
chr9:54800703:DECOY170	-0.1310	9.798e-01	1.000e+00	no
chr7:46660566:DECOY171	-0.0540	7.949e-01	1.000e+00	no
chr16:48283718:DECOY172	-0.1563	9.924e-01	1.000e+00	no
chr16:117699669:DECOY173	-0.2765	1.000e+00	1.000e+00	no
chr6:112206251:DECOY174	-0.1308	9.766e-01	1.000e+00	no
chr5:22734745:DECOY175	-0.4052	1.000e+00	1.000e+00	no
chr7:84524230:DECOY176	-0.1298	9.796e-01	1.000e+00	no
chr9:25691979:DECOY177	-0.2352	9.998e-01	1.000e+00	no
chr2:85189696:DECOY178	-0.1288	9.754e-01	1.000e+00	no
chr21:70282679:DECOY179	-0.3392	1.000e+00	1.000e+00	no
